project,table,variable,full_name,label,value_type,description,categories,categories_label
BiB_StartingSchool,stschool_ckat,ssckatraim10baseTPS10,BiB_StartingSchool.stschool_ckat.ssckatraim10baseTPS10,Aiming Baseline (Aim Number: 9 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim11baseDT11,BiB_StartingSchool.stschool_ckat.ssckatraim11baseDT11,Aiming Baseline (Aim Number: 10 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim11baseMT11,BiB_StartingSchool.stschool_ckat.ssckatraim11baseMT11,Aiming Baseline (Aim Number: 10 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim11baseNJ11,BiB_StartingSchool.stschool_ckat.ssckatraim11baseNJ11,Aiming Baseline (Aim Number: 10 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim11basePL11,BiB_StartingSchool.stschool_ckat.ssckatraim11basePL11,Aiming Baseline (Aim Number: 10 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim11basePLT11,BiB_StartingSchool.stschool_ckat.ssckatraim11basePLT11,Aiming Baseline (Aim Number: 10 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim11basePS11,BiB_StartingSchool.stschool_ckat.ssckatraim11basePS11,Aiming Baseline (Aim Number: 10 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim11baseRT11,BiB_StartingSchool.stschool_ckat.ssckatraim11baseRT11,Aiming Baseline (Aim Number: 10 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim11baseTPS11,BiB_StartingSchool.stschool_ckat.ssckatraim11baseTPS11,Aiming Baseline (Aim Number: 10 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim12baseDT12,BiB_StartingSchool.stschool_ckat.ssckatraim12baseDT12,Aiming Baseline (Aim Number: 11 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim12baseMT12,BiB_StartingSchool.stschool_ckat.ssckatraim12baseMT12,Aiming Baseline (Aim Number: 11 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim12baseNJ12,BiB_StartingSchool.stschool_ckat.ssckatraim12baseNJ12,Aiming Baseline (Aim Number: 11 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim12basePL12,BiB_StartingSchool.stschool_ckat.ssckatraim12basePL12,Aiming Baseline (Aim Number: 11 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim12basePLT12,BiB_StartingSchool.stschool_ckat.ssckatraim12basePLT12,Aiming Baseline (Aim Number: 11 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim12basePS12,BiB_StartingSchool.stschool_ckat.ssckatraim12basePS12,Aiming Baseline (Aim Number: 11 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim12baseRT12,BiB_StartingSchool.stschool_ckat.ssckatraim12baseRT12,Aiming Baseline (Aim Number: 11 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim12baseTPS12,BiB_StartingSchool.stschool_ckat.ssckatraim12baseTPS12,Aiming Baseline (Aim Number: 11 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim13baseDT13,BiB_StartingSchool.stschool_ckat.ssckatraim13baseDT13,Aiming Baseline (Aim Number: 12 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim13baseMT13,BiB_StartingSchool.stschool_ckat.ssckatraim13baseMT13,Aiming Baseline (Aim Number: 12 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim13baseNJ13,BiB_StartingSchool.stschool_ckat.ssckatraim13baseNJ13,Aiming Baseline (Aim Number: 12 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim13basePL13,BiB_StartingSchool.stschool_ckat.ssckatraim13basePL13,Aiming Baseline (Aim Number: 12 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim13basePLT13,BiB_StartingSchool.stschool_ckat.ssckatraim13basePLT13,Aiming Baseline (Aim Number: 12 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim13basePS13,BiB_StartingSchool.stschool_ckat.ssckatraim13basePS13,Aiming Baseline (Aim Number: 12 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim13baseRT13,BiB_StartingSchool.stschool_ckat.ssckatraim13baseRT13,Aiming Baseline (Aim Number: 12 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim13baseTPS13,BiB_StartingSchool.stschool_ckat.ssckatraim13baseTPS13,Aiming Baseline (Aim Number: 12 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim14baseDT14,BiB_StartingSchool.stschool_ckat.ssckatraim14baseDT14,Aiming Baseline (Aim Number: 13 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim14baseMT14,BiB_StartingSchool.stschool_ckat.ssckatraim14baseMT14,Aiming Baseline (Aim Number: 13 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim14baseNJ14,BiB_StartingSchool.stschool_ckat.ssckatraim14baseNJ14,Aiming Baseline (Aim Number: 13 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim14basePL14,BiB_StartingSchool.stschool_ckat.ssckatraim14basePL14,Aiming Baseline (Aim Number: 13 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim14basePLT14,BiB_StartingSchool.stschool_ckat.ssckatraim14basePLT14,Aiming Baseline (Aim Number: 13 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim14basePS14,BiB_StartingSchool.stschool_ckat.ssckatraim14basePS14,Aiming Baseline (Aim Number: 13 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim14baseRT14,BiB_StartingSchool.stschool_ckat.ssckatraim14baseRT14,Aiming Baseline (Aim Number: 13 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim14baseTPS14,BiB_StartingSchool.stschool_ckat.ssckatraim14baseTPS14,Aiming Baseline (Aim Number: 13 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim15baseDT15,BiB_StartingSchool.stschool_ckat.ssckatraim15baseDT15,Aiming Baseline (Aim Number: 14 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim15baseMT15,BiB_StartingSchool.stschool_ckat.ssckatraim15baseMT15,Aiming Baseline (Aim Number: 14 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim15baseNJ15,BiB_StartingSchool.stschool_ckat.ssckatraim15baseNJ15,Aiming Baseline (Aim Number: 14 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim15basePL15,BiB_StartingSchool.stschool_ckat.ssckatraim15basePL15,Aiming Baseline (Aim Number: 14 of 50) Path Length,decimal,,,
